nfl_id,CSOE_avg,jugadas,player_name,player_position
46168.0,1.264804176939269,28,Isaac Yiadom,CB
56353.0,1.1340102771879819,22,Starling Thomas V,CB
55921.0,1.034841914250647,48,Tyrique Stevenson,CB
55969.0,0.9792556898934135,20,Jakorian Bennett,CB
47963.0,0.9564277875217089,27,Corey Ballentine,CB
45571.0,0.9349315164745131,50,Michael Davis,CB
54708.0,0.8134460442197431,26,Jaylen Watson,CB
53503.0,0.7320170599535519,62,Benjamin St-Juste,CB
46757.0,0.6601272197251273,58,Charvarius Ward,CB
52272.0,0.6384156645655634,30,Dee Alford,CB
54525.0,0.6332671599873855,46,Cam Taylor-Britt,CB
44911.0,0.6320674447220619,39,Rasul Douglas,CB
55910.0,0.6115271469760141,45,Brian Branch,SS
53462.0,0.6001888469876214,44,Tyson Campbell,CB
38540.0,0.590319834321507,53,Stephon Gilmore,CB
54514.0,0.5893969490177257,56,Alontae Taylor,CB
54687.0,0.5681335438902033,38,Montaric Brown,CB
43700.0,0.5388055911635328,38,Jonathan Jones,CB
54546.0,0.5375270954179461,41,Cordale Flott,CB
53505.0,0.5218677068900379,53,Paulson Adebo,CB
55181.0,0.5213836128924483,21,Tre Avery,CB
46087.0,0.5003475622616365,22,Jaire Alexander,CB
54533.0,0.48661062666281835,47,Martin Emerson,CB
55881.0,0.48648547426284694,21,Christian Gonzalez,CB
56086.0,0.4862381414963488,41,Jaylon Jones,CB
53589.0,0.48514748818548575,22,Shaun Wade,CB
56242.0,0.4610034270428951,22,Eli Ricks,CB
53438.0,0.45319908870784575,54,Pat Surtain II,CB
55869.0,0.44246081742748894,37,Devon Witherspoon,CB
44926.0,0.4386366580472133,43,Rayshawn Jenkins,SS
53565.0,0.4294112302620698,38,Marco Wilson,CB
39984.0,0.42285207462490815,51,Darius Slay,CB
54618.0,0.3963542411567491,40,Riq Woolen,CB
43986.0,0.3920390453999947,30,Antonio Hamilton,CB
47940.0,0.3858889673474527,22,Blake Cashman,ILB
52424.0,0.3716487135355966,51,A.J. Terrell,CB
43641.0,0.37042799612761856,43,Mike Hilton,CB
53533.0,0.36704960822352417,64,Brandon Stephens,CB
55184.0,0.3645452746304586,21,Jack Gibbens,ILB
55888.0,0.3640537183893284,65,Deonte Banks,CB
48241.0,0.36198933661159927,35,Keisean Nixon,CB
56045.0,0.3617848174405334,24,Kei'Trel Clark,CB
46211.0,0.35480475684266255,51,D.J. Reed,CB
46456.0,0.34993787056676146,64,Darious Williams,CB
44830.0,0.34793294313452927,35,Adoree' Jackson,CB
